ID,kwh
2024-09-24_consumer_device_12_data_user_1,0.23249640644552805
2024-09-24_consumer_device_12_data_user_10,0.2691422311814961
2024-09-24_consumer_device_12_data_user_11,0.0
2024-09-24_consumer_device_12_data_user_12,0.17670676788474027
2024-09-24_consumer_device_12_data_user_13,0.16223298943540643
2024-09-24_consumer_device_12_data_user_2,0.11391652329922546
2024-09-24_consumer_device_12_data_user_3,1.5484612001139249
2024-09-24_consumer_device_12_data_user_4,3.2943986919516774
2024-09-24_consumer_device_12_data_user_5,11.57836756168781
2024-09-24_consumer_device_12_data_user_6,2.228109420074867
2024-09-24_consumer_device_12_data_user_7,0.043533456680201366
2024-09-24_consumer_device_12_data_user_8,0.31731077262262236
2024-09-24_consumer_device_12_data_user_9,0.13770053851572592
2024-09-24_consumer_device_13_data_user_1,0.3011903392304504
2024-09-24_consumer_device_13_data_user_10,0.2410014545173027
2024-09-24_consumer_device_13_data_user_11,0.46429775397892115
2024-09-24_consumer_device_13_data_user_12,0.36460844156956324
2024-09-24_consumer_device_13_data_user_13,0.27033286091828473
2024-09-24_consumer_device_13_data_user_2,0.5388545809056207
2024-09-24_consumer_device_13_data_user_3,0.37899997757524717
2024-09-24_consumer_device_13_data_user_4,1.1656683428721217
2024-09-24_consumer_device_13_data_user_5,0.5333248490743147
2024-09-24_consumer_device_13_data_user_6,0.7409557497959087
2024-09-24_consumer_device_13_data_user_7,0.33063458099091475
2024-09-24_consumer_device_13_data_user_8,0.3961453100757776
2024-09-24_consumer_device_13_data_user_9,0.354994290491843
2024-09-24_consumer_device_16_data_user_1,9.11137326375744
2024-09-24_consumer_device_16_data_user_10,0.48744609353425133
2024-09-24_consumer_device_16_data_user_11,3.9629025328178025
2024-09-24_consumer_device_16_data_user_12,10.35175967808461
2024-09-24_consumer_device_16_data_user_13,0.32859185050041395
2024-09-24_consumer_device_16_data_user_2,12.711972277246817
2024-09-24_consumer_device_16_data_user_3,4.890792326152588
2024-09-24_consumer_device_16_data_user_4,0.6872897527930683
2024-09-24_consumer_device_16_data_user_5,3.2219137707113297
